Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
4,Ramón Ábila\Ramon-Abila,ar ARG,FW,D.C. United,31-327,1989,0.7,0,0,0,0,0,0,0,,0,11.4,2.86,25,0,2.86,8.57,0,0,0,0,0,0,0,0,Matches
5,Ramón Ábila\Ramon-Abila,ar ARG,FW,Minnesota Utd,31-327,1989,3,0,0,0,0,0,0,0,,0,10.3,1.67,16.1,0.67,3.33,6.33,0.33,0.33,0,0,0,0,0.67,0,Matches
15,Fanendo Adi\Fanendo-Adi,ng NGA,FW,Minnesota Utd,30-331,1990,0.4,0,0,0,0,0,0,0,,0,5,0,0,0,2.5,2.5,0,0,0,0,0,0,0,0,Matches
21,Arnaud Ake\Arnaud-Ake,ci CIV,FW,Nashville,23-158,1998,1.7,1.18,1.18,0.59,0,0.59,0,0.59,0,0.59,22.4,3.53,15.8,1.76,12.4,8.24,0,0,0,0,0.59,1.76,1.18,0,Matches
22,Tesho Akindele\Tesho-Akindele,ca CAN,FW,Orlando City,29-159,1992,12.9,0.47,0.39,0.08,0.23,0.16,0.16,0.54,28.6,0.39,24.3,6.2,25.5,1.47,10.2,12.6,1.4,0.23,0,1.16,0.39,0.85,1.32,0,Matches
23,Ayo Akinola\Ayo-Akinola,ca CAN,FW,Toronto FC,21-229,2000,7.2,0.14,0,0,0.14,0,0,0.28,0,0.28,16.7,2.78,16.7,1.11,6.39,9.17,0.28,0,0,0.28,0.14,0.28,0.42,0,Matches
30,Alexander Alvarado\Alexander-Alvarado,ec ECU,FW,Orlando City,22-138,1999,1.3,1.54,0.77,0,1.54,0,0.77,2.31,33.3,1.54,23.8,4.62,19.4,6.92,12.3,4.62,3.08,2.31,0,0.77,0.77,2.31,0.77,0,Matches
54,Edison Azcona\Edison-Azcona,do DOM,FW,Inter Miami,17-289,2003,0.6,3.33,3.33,0,3.33,0,0,3.33,0,3.33,23.3,5,21.4,1.67,3.33,18.3,3.33,0,0,3.33,1.67,5,0,0,Matches
55,Dominique Badji\Dominique-Badji,sn SEN,FW,Nashville,28-325,1992,2.1,2.38,1.9,0.48,1.43,0.48,0.95,0.95,100,0,17.1,4.29,25,1.9,9.05,6.19,0.95,0,0,0.95,0.48,2.86,0,0,Matches
58,Theo Bair\Theo-Bair,ca CAN,FW,Vancouver,22-010,1999,0.3,0,0,0,0,0,0,0,,0,20,6.67,33.3,0,20,0,0,0,0,0,0,0,3.33,0,Matches
59,Corey Baird\Corey-Baird,us USA,FW,Houston Dynamo,25-219,1996,2,1.5,0.5,1,0,0.5,1,3,33.3,2,21.5,3.5,16.3,8.5,6,7,0.5,0.5,0,0,1,2.5,0.5,0,Matches
60,Corey Baird\Corey-Baird,us USA,FW,Los Angeles FC,25-219,1996,8.3,1.2,0.84,0.36,0.48,0.36,0.24,1.69,14.3,1.45,25.5,8.19,32.1,3.25,8.92,13.4,0.96,0,0,0.96,0.72,1.93,0.24,0,Matches
82,Robert Beri?\Robert-Beric,si SVN,FW,Chicago Fire,30-081,1991,16.5,0.42,0.3,0,0.18,0.24,0.06,0.67,9.1,0.61,16.7,4,23.9,1.03,7.45,8.24,1.21,0.18,0,1.03,0.42,0.85,0.18,0,Matches
83,Miguel Berry\Miguel-Berry,es ESP,FW,Columbus Crew,23-355,1997,3,0.67,0.33,0.33,0,0.33,0.67,1.33,50,0.67,22.7,6.67,29.4,3.67,9,10,1,0.33,0,0.67,0.33,1,1.33,0,Matches
99,Gustavo Bou\Gustavo-Bou,ar ARG,FW,New England,31-200,1990,18.2,1.15,0.38,0.11,0.38,0.66,0.27,0.77,35.7,0.49,13.4,2.97,22.1,1.32,4.07,8.02,0.77,0.05,0,0.71,0.44,1.59,0.27,0,Matches
104,Brenner\Brenner,br BRA,FW,FC Cincinnati,21-233,2000,19.6,0.92,0.71,0.2,0.41,0.31,0.2,0.82,25,0.61,14.6,3.78,25.9,1.02,6.73,6.84,0.82,0.15,0,0.66,0.56,1.48,0.92,0,Matches
110,Will Bruin\Will-Bruin,us USA,FW,Seattle,31-317,1989,7.8,1.03,0.51,0,0.64,0.38,0.26,1.15,22.2,0.9,15.9,4.87,30.6,1.28,8.33,6.28,0.51,0.26,0,0.26,0.38,1.41,0.9,0,Matches
112,Adam Buksa\Adam-Buksa,pl POL,FW,New England,25-056,1996,16.9,0.83,0.47,0.06,0.53,0.24,0.18,0.89,20,0.71,16.3,3.96,24.4,0.71,6.69,8.88,0.77,0.18,0,0.59,0.3,1.12,1.12,0,Matches
118,Handwalla Bwana\Handwalla-Bwana,us USA,FW,Nashville,24-073,1997,1.1,2.73,2.73,0.91,1.82,0,0.91,1.82,50,0.91,24.5,12.7,51.9,8.18,12.7,3.64,0.91,0,0,0.91,1.82,4.55,0,0,Matches
121,Jhonder Cádiz\Jhonder-Cadiz,ve VEN,FW,Nashville,26-039,1995,6.1,1.31,0.66,0,1.15,0.16,0.33,0.66,50,0.33,19.7,4.75,24.2,0.66,11,8.03,0.66,0.16,0,0.49,0,1.31,0.66,0,Matches
139,Valentín Castellanos\Valentin-Castellanos,ar ARG,FW,NYCFC,22-338,1998,20.1,0.65,0.55,0,0.2,0.45,0.15,0.85,17.6,0.7,20.2,4.88,24.1,0.4,7.11,12.7,1.24,0.1,0,1.14,0.3,0.95,1,0,Matches
141,Lucas Cavallini\Lucas-Cavallini,ca CAN,FW,Vancouver,28-252,1992,10.7,1.03,0.47,0.28,0.47,0.28,0.37,0.65,57.1,0.28,14.7,3.46,23.6,1.03,7.94,5.7,1.03,0.19,0,0.84,0.37,1.4,1.12,0,Matches
151,Machop Chol\Machop-Chol,SUD,FW,Atlanta Utd,22-296,1998,4.7,1.28,0.43,0.21,0.64,0.43,0.85,1.28,66.7,0.43,13.8,2.77,20,2.34,6.6,4.89,1.28,0.21,0,1.06,1.49,2.77,0.64,0,Matches
158,Jackson Conway\Jackson-Conway,us USA,FW,Atlanta Utd,19-277,2001,2.4,1.25,0.83,0,0.42,0.83,0,0.83,0,0.83,15.4,2.92,18.9,2.5,5.42,7.5,0.42,0,0,0.42,0,1.25,0.42,0,Matches
163,Cade Cowell\Cade-Cowell,us USA,FW,San Jose,17-327,2003,14.1,1.13,0.64,0.21,0.28,0.64,0.28,0.99,28.6,0.71,18.7,4.33,23.1,2.41,7.94,8.37,0.57,0,0,0.57,0.43,1.56,0.21,0,Matches
184,Luis Díaz\Luis-Diaz,cr CRC,FW,Columbus Crew,22-274,1998,8.7,1.72,1.38,0.92,0.46,0.34,0.34,1.38,25,1.03,17.5,4.48,25.7,4.37,6.32,6.78,1.03,0,0,1.03,1.38,3.1,0.34,0,Matches
186,Daryl Dike\Daryl-Dike,us USA,FW,Orlando City,21-095,2000,4.1,0,0,0,0,0,0,0.73,0,0.73,14.9,1.95,13.1,0.24,5.85,8.78,0.49,0.49,0,0,0.49,0.49,0.73,0,Matches
188,Moussa Djitte\Moussa-Djitte,sn SEN,FW,Austin FC,21-337,1999,0.3,3.33,3.33,0,0,3.33,0,3.33,0,3.33,10,10,100,0,0,10,0,0,0,0,0,3.33,0,0,Matches
202,Dom Dwyer\Dom-Dwyer,us USA,FW,Toronto FC,31-038,1990,3.3,0.91,0.3,0,0.3,0.61,0,0.3,0,0.3,18.5,3.33,18,0.3,8.18,10,0,0,0,0,0.3,1.21,2.12,0,Matches
203,Jeremy Ebobisse\Jeremy-Ebobisse,us USA,FW,San Jose,24-204,1997,3.7,0,0,0,0,0,0,0.81,0,0.81,8.38,1.08,12.9,0.27,2.97,5.14,0.54,0.27,0,0.27,0.27,0.27,0.54,0,Matches
218,Fábio\Fabio,br BRA,FW,NY Red Bulls,24-104,1997,16.8,0.6,0.3,0.06,0.42,0.12,0.12,0.89,13.3,0.77,19.3,5.54,28.7,1.37,7.2,10.7,1.31,0.12,0,1.19,0.3,0.89,0.83,0,Matches
230,Ethan Finlay\Ethan-Finlay,us USA,FW,Minnesota Utd,31-031,1990,11.3,1.68,0.88,0.53,0.97,0.18,0.71,2.04,34.8,1.33,21.6,4.42,20.5,4.51,9.73,7.35,1.68,0.18,0,1.5,0.71,2.39,0.44,0,Matches
295,Wilson Harris\Wilson-Harris,us USA,FW,Sporting KC,21-282,1999,1.9,2.11,1.05,0.53,0.53,1.05,0,0.53,0,0.53,31.6,10,31.7,3.16,10.5,17.9,2.11,0.53,0,1.58,0,2.11,0.53,0,Matches
303,Javier Hernández\Javier-Hernandez,mx MEX,FW,LA Galaxy,33-097,1988,9.6,1.04,0.73,0,0.63,0.42,0.42,0.63,66.7,0.21,9.17,2.19,23.9,0.42,3.44,5.31,0.31,0,0,0.31,0.1,1.15,0.63,0,Matches
307,Gonzalo Higuaín\Gonzalo-Higuain,ar ARG,FW,Inter Miami,33-270,1987,17,0.76,0.53,0.29,0.29,0.18,0.12,1.47,8,1.35,11.2,2.59,23.2,0.94,4.65,5.59,0.47,0.06,0,0.41,0.29,1.06,0.88,0,Matches
309,Danny Hoesen\Danny-Hoesen,nl NED,FW,Austin FC,30-234,1991,3.4,0.29,0.29,0.29,0,0,0,0.59,0,0.59,24.7,6.76,27.4,4.12,6.76,13.8,0.59,0.29,0,0.29,0.29,0.59,0.29,0,Matches
310,Ian Hoffmann\Ian-Hoffmann,de GER,FW,Houston Dynamo,19-363,2001,0.1,0,0,0,0,0,0,0,,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,Matches
313,Adrien Hunou\Adrien-Hunou,fr FRA,FW,Minnesota Utd,27-230,1994,10.9,0.73,0.37,0,0.28,0.46,0.37,0.92,40,0.55,15.2,4.04,26.5,0.64,4.95,9.63,0.92,0.09,0,0.83,0.28,1.01,0.18,0,Matches
315,Erik Hurtado\Erik-Hurtado,us USA,FW,CF Montréal,30-295,1990,3.2,0.31,0,0.31,0,0,0,0.63,0,0.63,15.3,4.38,28.6,0.94,4.69,9.69,0.94,0,0,0.94,0.31,0.63,0.31,0,Matches
325,Stanislav Ivanov\Stanislav-Ivanov,bg BUL,FW,Chicago Fire,22-143,1999,2.5,0.8,0.8,0,0.4,0.4,0.4,0.4,100,0,17.2,4.8,27.9,4,7.6,5.6,1.2,0,0,1.2,0,0.8,0,0,Matches
