Rk,Team,League,Shots Received,PPDA
1,Wolfsburg,Bundesliga,11.9,11.1
2,Union Berlin,Bundesliga,12.1,16.8
3,Stuttgart,Bundesliga,16.9,12.4
4,RB Leipzig,Bundesliga,11.2,9.4
5,Mainz 05,Bundesliga,11.6,10.8
6,M'Gladbach,Bundesliga,13.1,10.9
7,Leverkusen,Bundesliga,14.8,13.4
8,Köln,Bundesliga,12.5,8.7
9,Hoffenheim,Bundesliga,12.5,12.3
10,Hertha BSC,Bundesliga,13.6,14.8
11,Greuther Fürth,Bundesliga,14.9,12.4
12,Freiburg,Bundesliga,14.2,13.3
13,Eint Frankfurt,Bundesliga,13.5,11
14,Dortmund,Bundesliga,11.4,10.7
15,Bochum,Bundesliga,14.6,13.5
16,Bayern Munich,Bundesliga,8.82,10.6
17,Augsburg,Bundesliga,13.8,14.6
18,Arminia,Bundesliga,15.1,15.4
19,Wolves,Premier League,11.9,15.3
20,West Ham,Premier League,13.2,14.4
21,Watford,Premier League,14.8,14.6
22,Tottenham,Premier League,14,13.1
23,Southampton,Premier League,12.4,11.4
24,Norwich City,Premier League,14.8,15.3
25,Newcastle Utd,Premier League,15.6,17.3
26,Manchester Utd,Premier League,13.8,14
27,Manchester City,Premier League,6.44,10.7
28,Liverpool,Premier League,8.56,9.5
29,Leicester City,Premier League,15.3,12.3
30,Leeds United,Premier League,15.7,9.6
31,Everton,Premier League,13.5,15.4
32,Crystal Palace,Premier League,12.4,12.2
33,Chelsea,Premier League,8.94,10.3
34,Burnley,Premier League,16.8,14.1
35,Brighton,Premier League,11.9,10.3
36,Brentford,Premier League,11.8,12.2
37,Aston Villa,Premier League,13.4,13.8
38,Arsenal,Premier League,12.9,14.7
39,Villarreal,La Liga,10.7,8.7
40,Valencia,La Liga,11.4,10.5
41,Sevilla,La Liga,11.1,10.9
42,Real Sociedad,La Liga,9.89,10.3
43,Real Madrid,La Liga,11.2,12.7
44,Rayo Vallecano,La Liga,10.3,10.3
45,Osasuna,La Liga,11.3,11.4
46,Mallorca,La Liga,12.2,10.9
47,Levante,La Liga,13.1,11.5
48,Granada,La Liga,15.2,12.2
49,Getafe,La Liga,10.5,11
50,Espanyol,La Liga,13.9,14.6
51,Elche,La Liga,14.3,14.6
52,Celta Vigo,La Liga,10.3,8.7
53,Cádiz,La Liga,14.4,14.7
54,Betis,La Liga,11.1,11.6
55,Barcelona,La Liga,9.44,8.7
56,Atlético Madrid,La Liga,7.59,11.8
57,Athletic Club,La Liga,11.4,10.7
58,Alavés,La Liga,13.9,13.3
59,Troyes,Ligue 1,12.9,14.9
60,Strasbourg,Ligue 1,11.7,13.1
61,Saint-Étienne,Ligue 1,12.9,10.7
62,Rennes,Ligue 1,9.17,10.8
63,Reims,Ligue 1,10.7,13.6
64,Paris S-G,Ligue 1,11.5,10.2
65,Nice,Ligue 1,10.9,12.2
66,Nantes,Ligue 1,11.7,14.6
67,Montpellier,Ligue 1,15.2,13.9
68,Monaco,Ligue 1,8.72,8.8
69,Metz,Ligue 1,14.1,14.8
70,Marseille,Ligue 1,9.88,13.8
71,Lyon,Ligue 1,14.4,10.3
72,Lorient,Ligue 1,12.6,14.6
73,Lille,Ligue 1,11.2,12.7
74,Lens,Ligue 1,11.2,12.6
75,Clermont Foot,Ligue 1,10.8,15
76,Brest,Ligue 1,12.1,18
77,Bordeaux,Ligue 1,14.2,12.9
78,Angers,Ligue 1,9.67,13.7
79,Venezia,Serie A,17.3,14.9
80,Udinese,Serie A,11.8,14.8
81,Torino,Serie A,9.83,8.8
82,Spezia,Serie A,16.2,14.7
83,Sassuolo,Serie A,13.4,11.5
84,Sampdoria,Serie A,14.2,12
85,Salernitana,Serie A,15.5,16
86,Roma,Serie A,9.67,12.9
87,Napoli,Serie A,10.4,11.2
88,Milan,Serie A,11.3,9.9
89,Lazio,Serie A,13,12.6
90,Juventus,Serie A,9.95,11.6
91,Inter,Serie A,11.1,11.4
92,Hellas Verona,Serie A,13.4,10.7
93,Genoa,Serie A,14.4,12.3
94,Fiorentina,Serie A,9.72,12.2
95,Empoli,Serie A,16.2,11.2
96,Cagliari,Serie A,15.8,15.1
97,Bologna,Serie A,11.9,13.4
98,Atalanta,Serie A,10.5,9.4
