Team,Player,Event,startX,startY,endX,endY,outcome
Home,Doku,Pass,89,19,97,40,un
Home,Doku,Pass,94,26,82,68,su
Home,Doku,Pass,88,18,75,31,su
Home,Doku,Pass,75,19,65,22,su
Home,Doku,Pass,59,19,41,20,su
Home,Doku,Pass,60,17,55,7,su
Home,Doku,Pass,93,7,78,12,su
Home,Doku,Pass,73,12,74,4,su
Home,Doku,Pass,67,14,79,5,su
Home,Doku,Pass,67,6,63,20,su
Home,Doku,Pass,70,9,61,11,su
Home,Doku,Pass,59,4,68,5,su
Home,Doku,Pass,97,27,98,47,un
Home,Doku,Pass,79,30,93,33,su
Home,Doku,Pass,79,28,81,67,su
Home,Doku,Pass,91,12,73,29,su
Home,Doku,Pass,76,23,75,38,su
Home,Doku,Pass,81,14,72,21,su
Home,Doku,Pass,73,11,69,39,su
Home,Doku,Pass,39,33,59,83,su
Home,Doku,Pass,27,6,23,14,un
