Team,Player,Event,Mins,Secs,X,Y,X2,Y2
Home,Modric,Progressive Pass,0,0,55,11,75,26
Home,Modric,Progressive Pass,0,0,60,15,66,37
Home,Modric,Progressive Pass,0,0,91,11,82,29
Home,Modric,Progressive Pass,0,0,79,15,94,42
Home,Modric,Progressive Pass,0,0,80,16,90,27
Home,Modric,Progressive Pass,0,0,35,23,67,58
Home,Modric,Progressive Pass,0,0,73,47,81,45
Home,Modric,Progressive Pass,0,0,63,63,72,46
Home,Modric,Progressive Pass,0,0,63,69,74,66
Home,Modric,Progressive Pass,0,0,35,86,56,81
Home,Modric,Carries,0,0,31,35,43,31
Home,Modric,Carries,0,0,67,34,73,37
Home,Modric,Carries,0,0,68,56,76,33
Home,Modric,Carries,0,0,56,68,66,43
Home,Modric,Carries,0,0,61,20,90,28
Home,Modric,Carries,0,0,65,84,90,60
Home,Modric,Carries,0,0,73,91,82,68
Home,Modric,Carries,0,0,70,69,94,68
